,,,,,,,,,,,,
To include your config in the community list please fill the anonymous form here: https://forms.gle/qxuvvsprDa3wMJB7A ,,,,,,,,,,,,
TA Community Discord: https://discord.com/invite/tradealts ,,,,,,,,,,,,
🤖 List created by Sellium#7929 // Ribsy has Admin rights to it,,,,,,,,,,,,
INDEX,Creator,What's the name of the Bot Config?,(TP) Take Profit,(BO) Base Order Size,(SO) Safety Order Size,(OS) Safety Order Volume Scale,(SS) Safety Order Step Scale,(SOS) Price Deviation to Open Safety Orders,(MSTC) Max Safety Trades Count,Deal Start Condition,Max SO Price Deviation,Max Cost per Bot / Deal
1,Trade Alts,TA Standard,1.50%,$10,$20,1.05,1.00,2.00%,30,ASAP,60.00%,"$1,339"
2,Trade Alts,TA Safer,1.50%,$10,$10,1.05,1.00,2.40%,25,ASAP,60.00%,$488
3,Trade Alts,TA Riskier,1.00%,$10,$15,1.05,1.00,2.00%,30,ASAP,60.00%,"$1,007"
4,Trade Alts,TA Riskier 2,1.00%,$10,$15,1.05,1.00,2.40%,25,ASAP,60.00%,$727
5,Trade Alts,TA Very Aggressive,1.00%,$10,$20,1.05,1.00,2.50%,20,ASAP,50.00%,$672
6,Trade Alts,TA Standard v2,1.25%,$10,$10,1.09,1.00,2.00%,30,ASAP,60.00%,"$1,374"
7,Trade Alts,TA Strong Uptrend,3.00%,$10,$10,1.40,1.23,2.00%,10,ASAP,60.22%,$709
8,Trade Alts,TA Deep Retracement,3.00%,$10,$10,2.00,1.40,2.00%,8,ASAP,68.78%,"$2,560"
9,Ribsy,Mercury,3.00%,$10,$10,1.50,1.30,2.00%,8,ASAP,47.71%,$504
10,Ribsy,Mars,3.00%,$10,$10,1.40,1.30,1.80%,8,ASAP,42.94%,$355
11,Ribsy,Oni,3.00%,$10,$10,1.40,1.45,1.00%,8,ASAP,41.20%,$355
12,Urma,Urma V6,3.00%,$10,$10,1.40,1.50,1.87%,7,ASAP,60.16%,$249
13,Mantis,Big BankRoll,1.00%,$10,$20,1.06,1.00,1.45%,42,ASAP,60.90%,"$3,530"
14,Mizukage,Mizukage v3.1,3.00%,$100,$10,1.00,1.01,0.35%,100,ASAP,59.66%,"$1,103"
15,Zeke,Kiri v4,3.00%,$50,$10,1.02,0.99,1.50%,51,ASAP,60.15%,$925
